商品名,规格,物料号,天猫是否上架,天猫平台ID
屏蔽网线,5米屏蔽网线RJ45,38.0003.0231,否,
屏蔽网线,10米屏蔽网线RJ45,38.0003.0231-10M,否,
屏蔽网线,15米屏蔽网线RJ45,38.0003.0231-15M,否,
屏蔽网线,20米屏蔽网线RJ45,38.0003.0231-20M,否,
屏蔽网线,一分二连线,4.100.261,否,
总线通讯接口,Devicenet通讯接口,4.100.614,否,
总线通讯接口,profinet通讯接口,4.045.980C,否,
总线通讯接口,profibus通讯接口,4.100.491,否,
ROB 5000 I/O通讯接口,ROB5000 I/O通讯接口,4.100.255-N,否,
遥控器,TR1000手持遥控器,4.046.082,否,
遥控器,TR2200脚踏遥控器/TR 2200-F with cable 5m,4.046.090,是,784382037957
遥控器,脚踏遥控器RC Pedal TIG/TMC/5m,4.046.110,否,
遥控器,RCU4000面板遥控器,4.045.859,否,
遥控器,RCU5000i 全动能遥控器,4.046.098,否,
其它,外置高频盒,4.045.992,否,
5.1.1手工MIG枪,AW5000 U/D F++ 3.5m手工MIG焊枪 ,4.035.618.000,否,
5.1.1手工MIG枪,AW5000 U/D F++  4.5m手工MIG焊枪,4.035.618.001,否,
5.1.1手工MIG枪,AW5000 U/D E 3.5m 手工MIG焊枪,4.035.619.000,否,
5.1.1手工MIG枪,AW5000 U/D E 4.5m 手工MIG焊枪 ,4.035.619.001,否,
5.1.2手工TIG焊枪,TTW4000A U/D/ 4m 手工TIG焊枪,4.035.778,是,747735859728
5.1.2手工TIG焊枪,TTW4000A U/D/ 8m 手工TIG焊枪,4.035.779,是,747735859728
5.1.2手工TIG焊枪,TTW4000P U/D/ 4m 手工TIG焊枪,4.035.778.630,是,747735859728
5.1.2手工TIG焊枪,TTW4000P U/D/ 8m 手工TIG焊枪,4.035.779.630,是,747735859728
5.1.2手工TIG焊枪,TTW4000P-M F++/4m机用焊枪,4.035.824.630,是,747735859728
5.1.2手工TIG焊枪,TTW4000P-M F++/8m 机用焊枪,4.035.825.630,是,747735859728
5.1.3手工微束plasma枪,TP50手工微束等离子焊枪,SBI 1017524,否,
5.1.4手工plasma枪,TP200 4m手工等离子焊枪,SBI 1017666,否,
5.1.5手工等离子喷粉枪（PTA）,PP150 4m 手工等离子喷粉焊枪,SBI 1025702,否,
5.1.5手工等离子喷粉枪（PTA）,PP280- 4m 手工等离子喷粉焊枪,SBI 1423,否,
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/UD/4m/LED,4.051.305,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/UD/8m/LED,4.051.306,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/UD/Le/4m/LED,4.051.309,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/UD/Le/8m/LED,4.051.310,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/JM/Le/4m/LED,4.051.311,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220i G ML/F/JM/Le/8m/LED,4.051.312,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220d G ML/F/UD/4m,4.051.402,是,784371757773
5.1.6 TTB220氩弧焊枪,THP 220d G ML/F/UD/8m,4.051.403,是,784371757773
5.1.6 TTB220氩弧焊枪,TTB 220P G ML/70° /L65 仅枪颈,44.0350.4409,是,784371757773
5.1.6 TTB220氩弧焊枪,TTB 220A G ML/70°/L65 仅枪颈,44.0350.4408,是,784371757773
5.1.7TTB400氩弧焊枪,THP 400d W ML/F++/UD/Le/4m,4.051.408,是,784361344501
5.1.7TTB400氩弧焊枪,THP 400d W ML/F++/UD/Le/8m,4.051.409,是,784361344501
5.1.7TTB400氩弧焊枪,THP 400i W ML/F++/UD/Le/4m/LED ,4.051.329,是,784361344501
5.1.7TTB400氩弧焊枪,THP 400i W ML/F++/UD/Le/8m/LED ,4.051.330,是,784361344501
5.1.7TTB400氩弧焊枪,THP 400i W ML/F++/JM/Le/4m/LED ,4.051.331,是,784361344501
5.1.7TTB400氩弧焊枪,THP 400i W ML/F++/JM/Le/8m/LED ,4.051.332,是,784361344501
5.1.7TTB400氩弧焊枪,TTB 400A W ML/70° /L65 ,44.0350.4413,是,784361344501
5.1.7TTB400氩弧焊枪,TTB 400P W ML/70° /L65 ,44.0350.4414,是,784361344501
5.2.1机用MIG推丝枪,Robot W焊枪电缆/1.2m ,4.047.255.000,否,
5.2.1机用MIG推丝枪,Robot W焊枪电缆/1.5m ,4.047.234.000,否,
5.2.1机用MIG推丝枪,Robot W焊枪电缆/1.75m ,4.047.323.000,否,
5.2.1机用MIG推丝枪,Robot W焊枪电缆/2.5m ,4.047.235.000,否,
5.2.1机用MIG推丝枪,Robot W焊枪电缆/3.5m ,4.047.236.000,否,
5.2.1机用MIG推丝枪,Robot W焊枪电缆/4.5m ,4.047.248.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆1.50m ,4.047.368.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆1.75m ,4.047.436.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆2.50m ,4.047.369.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆3.50m ,4.047.370.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆4.25m ,4.047.349.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆6.25m ,4.047.402.000,否,
5.2.2机用MIG拉丝枪,RA Drive拉丝枪电缆8.25m ,4.047.371.000,否,
5.2.3机用CMT枪,CMT 中空型水冷马达,4.036.357,否,
5.2.3机用CMT枪,CMT 外置型水冷马达,4.036.319,否,
5.2.3机用CMT枪,CMT枪电缆 W 4.25m ,4.047.429.000,否,
5.2.3机用CMT枪,CMT枪电缆 W 6.25m ,4.047.430.000,否,
5.2.3机用CMT枪,CMT枪电缆 W 8.25m ,4.047.447.000,否,
5.2.3机用CMT枪,CMT枪电缆-中空型/4.25m ,4.047.870.000,否,
5.2.3机用CMT枪,CMT枪电缆-中空型/6.25m,4.047.557.000,否,
5.2.3机用CMT枪,CMT枪电缆-中空型/8.25m,4.047.559.000,否,
5.2.4CMT 缓冲器,CMT 缓冲器 4.25m/1.2m ,4.001.635.U,否,
5.2.4CMT 缓冲器,CMT 缓冲器 4.25m/1.6m ,4.001.650.U,否,
5.2.4CMT 缓冲器,CMT 缓冲器 6.25m,4.001.698,否,
5.2.4CMT 缓冲器,CMT 缓冲器 8.25m,4.001.699,否,
5.2.5R5000枪头,RA 5000   0  L = 250 ,34.0350.1972,否,
5.2.5R5000枪头,RA 5000 22  L = 241 H = 50 ,34.0350.1973,否,
5.2.5R5000枪头,RA 5000 22  L = 383 H = 50 ,44.0350.2489,否,
5.2.5R5000枪头,RA 5000 36  L = 224 H = 86 ,34.0350.1974,否,
5.2.5R5000枪头,RA 5000 36  L = 366 H = 86 ,44.0350.2490,否,
5.2.5R5000枪头,RA 5000 45  L = 209 H = 107 ,34.0350.1975,否,
5.2.5R5000枪头,RA 5000 45  L = 351 H = 107 ,44.0350.2491,否,
5.2.6RA280枪头,RA 280   0  L = 250 ,34.0350.1778,否,
5.2.6RA280枪头,RA 280   0  L = 335 ,44.0350.3366,否,
5.2.6RA280枪头,RA 280 22  L = 246 H = 27 ,34.0350.1779,否,
5.2.6RA280枪头,RA 280 22  L = 331 H = 27 ,44.0350.3367,否,
5.2.6RA280枪头,RA 280 36  L = 236 H = 44.5 ,44.0350.2628,否,
5.2.6RA280枪头,RA 280 36  L = 321 H = 44.5 ,44.0350.3368,否,
5.2.6RA280枪头,RA 280 45  L = 228.5 H = 56.5 ,34.0350.1780,否,
5.2.6RA280枪头,RA 280 45  L = 313.5 H = 56.5 ,44.0350.3369,否,
5.2.6RA280枪头,RA 280 60  L = 297.5.5 H = 71 ,44.0350.3373,否,
5.2.7CMT双丝枪头,CMT双丝PB 30度枪头,44.0350.3339.630,是,744698848081
5.2.8激光柔性送丝枪头,激光柔性送丝枪头(气冷） HW/G/0.37m ,34.0350.1846,否,
5.2.8激光柔性送丝枪头,激光柔性送丝枪头 0.62m Holder 31mm ,4.035.837,否,
5.2.8激光柔性送丝枪头,激光柔性送丝枪头 0.62m Holder 31mm ,4.035.841,否,
5.2.8激光柔性送丝枪头,激光柔性送丝枪头 0.62m Holder 69mm ,4.035.910,否,
5.2.9机器人TIG焊枪,Robacta TTW4500 TIG焊枪/1.35m ,4.047.472,否,
5.2.9机器人TIG焊枪,Robacta TTW4500 TIG焊枪/6m,4.047.442,否,
5.2.9机器人TIG焊枪,Robacta TTW4500 TIG焊枪/8m,4.047.443,否,
5.2.10内孔堆焊TIG枪,TTHW4000M D76内孔堆焊枪,4.036.340,否,
5.2.10内孔堆焊TIG枪,TTHW3000M D45内孔堆焊枪,4.036.335,否,
机用微束等离子枪,TP50-R-180° 4m机用微束等离焊枪,SBI 1017529,否,
机用微束等离子枪,TP50-R-70°  4m机用微束等离焊枪,SBI 1018196,否,
200A等离子焊枪,TP200-R-180°. 6m机用等离子焊枪,SBI 1017327,否,
200A等离子焊枪,TP200-R-70°. 6m 机用等离子焊枪,SBI 1017665,否,
350A等离子焊枪,TP350-R-0°; 6m 机用等离子焊枪,SBI 14,否,
450A等离子焊枪,TP450-R-180°. 6m机用等离子焊枪,SBI 14,否,
内孔PTA喷粉枪,PP200-R-180°. 6m机用PTA喷粉枪,SBI 14682,否,
200A PTA喷粉枪,PP200-R-I-90°. 4m. L= 920机用PTA喷粉枪,SBI 1028833,否,
400A PTA喷粉枪,PP400-R-180°. 6m机用PTA喷粉枪,SBI 1025728,否,
5.3.1推丝管,推丝管 KD F/3m ,4.045.949,否,
5.3.2拉丝管,拉丝管KD-Drive F/6m ,4.045.950,否,
5.3.3防撞器,外置型磁性防撞器,44.0350.3856,否,
5.3.3防撞器,类防撞器部件,44.0350.2664,否,
5.3.3防撞器,KS-2 机械式防撞器,TBI0074,否,
5.3.3防撞器,CAT3防撞器,44.0450.1144,否,
5.3.3防撞器,适配法兰31.5 4M5 40 ,02*42.0100.1402,否,
5.3.3防撞器,适配法兰40 4M6 50 ,02*42.0100.1403,否,
5.3.3防撞器,适配法兰50 6M6 63 ,02*42.0100.1404,否,
5.3.3防撞器,适配法兰50 6M6 60,02*42.0100.0577,否,
5.3.4CMT马达固定座,CMT马达固定座 22 0,02*42.0201.2123,否,
5.3.4CMT马达固定座,CMT马达固定座 36 0,02*42.0201.2124,否,
5.3.4CMT马达固定座,CMT马达固定座22/ 36 0,02*42.0201.2122,否,
5.3.5防撞器过渡支架,防撞器过渡支架,02*42.0201.2553,否,
5.3.5防撞器过渡支架,防撞器过渡支架CAT3,02*42.0201.2553-Cat3,否,
5.3.6焊枪夹持器,拉丝焊枪夹持器,32.0201.0045,否,
5.3.6焊枪夹持器,推丝焊枪夹持器,42.0201.0005,否,
5.3.6焊枪夹持器,CMT TWIN焊枪夹持器,44.0350.3348,否,
5.3.6焊枪夹持器,TTW4500焊枪连接块,42.0201.1662,否,
5.3.6焊枪夹持器,直柄TIG焊枪夹持器 ,02*42.0201.0135,否,
5.3.7缓冲器固定座,缓冲器固定座（ABB）,02*4.001.642,否,
5.3.7缓冲器固定座,缓冲器固定座（通用型）,02*4.001.643,否,
MIG枪喷咀固定环,喷咀固定环(RA280),42.0400.1014,是,748358444384
MIG枪喷咀固定环,喷咀固定环(AW4000),/,是,748358444384
MIG枪喷咀固定环,喷咀固定环(RA5000/AW5000),42.0001.2970,是,748358444384
MIG焊枪绝缘环,绝缘环(RA280),42.0100.0449,是,748365376223
MIG焊枪绝缘环,绝缘环(AW4000),/,是,748365376223
MIG焊枪绝缘环,绝缘环(RA5000/AW5000),42.0100.1016,是,748365376223
MIG焊枪导电咀座,导电咀座(RA280),42.0001.5044,是,748604622755
MIG焊枪导电咀座,加长导电咀座(RA280),42.0001.5382,是,748604622755
MIG焊枪导电咀座,导电咀座(AW4000),/,是,748604622755
MIG焊枪导电咀座,导电咀座(RA5000/AW5000),42.0001.5122,是,748604622755
MIG焊枪分流套,分流套(RA280),42.0100.0134,是,748632706738
MIG焊枪分流套,分流套(RA5000/AW5000),42.0100.1007,是,748632706738
MIG焊枪喷咀（RA280）,RA280喷咀?13/?25x48,42.0001.5042,是,749192711012
MIG焊枪喷咀（RA281）,RA280喷咀?13/?25x43,42.0001.5041,否,
MIG焊枪喷咀（RA282）,RA280喷咀?13/?25x37,42.0001.5665,否,
MIG焊枪喷咀（RA283）,RA280加长喷咀?13/?25x65,42.0001.5381,是,749192711012
MIG焊枪喷咀（AW/RA5000）,RA/AW5000喷咀?20/?25x79,42.0001.5127,是,749259385032
MIG焊枪喷咀（AW/RA5001）,RA/AW5000喷咀?17/?25x79,42.0001.5128,是,749259385032
MIG焊枪喷咀（AW/RA5002）,RA/AW5000喷咀?17/?25x74.5,42.0001.5607,是,749259385032
MIG焊枪喷咀（AW/RA5003）,RA/AW5000喷咀?15/?25x79,42.0001.5129,是,749259385032
M6导电咀,M6导电咀0.8/?8x33,42.0001.0053,是,759914705455
M6导电咀,M6导电咀0.8/?8x24,42.0001.1373,否,
M6导电咀,M6导电咀1.0/?8x33,42.0001.0054,是,759914705455
M6导电咀,M6导电咀1.0/?8x24,42.0001.1391,否,
M6导电咀,M6导电咀1.2/?8x33,42.0001.0055,是,759914705455
M6导电咀,M6导电咀1.2/?8x24,42.0001.1392,是,759914705455
M6导电咀,M6导电咀1.6/?8x33,42.0001.0056,否,
M6导电咀,M6导电咀1.6/?8x24,42.0001.1393,是,759914705455
M8导电咀,M8导电咀0.8/?8x35,42.0001.2911,否,
M8导电咀,M8导电咀1.0/?8x35,42.0001.2912,是,759838828785
M8导电咀,M8导电咀1.2/?8x35,42.0001.2913,是,759838828785
M8导电咀,M8导电咀0.8/?8x35铝,42.0001.5082,是,759838828785
M8导电咀,M8导电咀1.0/?8x35铝,42.0001.5051,是,759838828785
M8导电咀,M8导电咀1.2/?8x35铝,42.0001.5052,是,759838828785
M8导电咀,M8导电咀1.6/?8x35铝,42.0001.3485,是,759838828785
M10导电咀,M10导电咀0.8/M10/?10x40,42.0001.1576,是,758771640961
M10导电咀,M10导电咀1.0/M10/?10x40,42.0001.1577,是,758771640961
M10导电咀,M10导电咀1.2/M10/?10x40,42.0001.1578,是,758771640961
M10导电咀,M10导电咀1.6/M10/?10x4,42.0001.1579,是,758771640961
M10导电咀,M10导电咀1.8/M10/?10x40,42.0001.2314,是,758771640961
M10导电咀,M10导电咀2.0/M10/?10x40,42.0001.1662,是,758771640961
M10导电咀,M10导电咀2.4/M10/?10x40,42.0001.1663,是,758771640961
M10导电咀,M10导电咀2.8/M10/?10x40,42.0001.1664,是,758771640961
M10导电咀,M10导电咀1.0/M10/L40铝,42.0001.5057,是,758771640961
M10导电咀,M10导电咀1.2/M10/L40铝,42.0001.5058,是,758771640961
M10导电咀,M10导电咀1.6/M10/L40铝,42.0001.5060,是,758771640961
M10导电咀,M10导电咀1.8/M10/L40铝,42.0001.5061,是,758771640961
contec导电咀,Contec 导电咀,42.0001.3912,是,760487466065
contec导电咀,Contec 锁紧螺母,42.0001.6336,是,760487466065
contec导电咀,contec导电咀座RA280,44.0350.3211,是,760487466065
contec导电咀,contec导电咀座RA5000,44.0350.3213,是,760487466065
contec导电咀,Contec 分流套,42.0100.0134,是,760487466065
TIG焊枪枪尾,长枪尾（TTW3000A/PTW1500/TTW4500）,44.0350.0336,否,
TIG焊枪枪尾,中枪尾（TW3000A/PTW1500/TTW4500）,44.0350.0337,否,
TIG焊枪枪尾,短枪尾（TW3000A/PTW1500/TTW4500）,44.0350.0338,否,
TIG焊枪枪尾,长枪尾（TTW4000A）,44.0350.0170,否,
TIG焊枪枪尾,短枪尾（TTW4000A）,44.0350.0171,否,
TIG焊枪枪尾,长枪尾（TTW3000P）,44.0350.1495,否,
TIG焊枪枪尾,中枪尾（TTW3000P）,44.0350.1496,否,
TIG焊枪枪尾,短枪尾（TTW3000P）,44.0350.1761,否,
TIG焊枪枪尾,长枪尾（TTW4000P）,44.0350.1597,否,
TIG焊枪枪尾,短尾（TTW4000P）,44.0350.1596,否,
TIG焊枪绝缘环, 绝缘环（TTW3000P）,42.0100.0391,否,
TIG焊枪绝缘环,绝缘环（TTW3000P 大气塞),42.0100.0407,否,
TIG焊枪绝缘环,绝缘环（TTW4000P）,42.0100.0408,否,
TIG焊枪绝缘环,绝缘环（TTW4000P 气塞）,42.0100.0401,否,
TIG焊枪绝缘环,绝缘环(TTW4000P 大气塞) ,42.0100.0402,否,
TIG焊枪绝缘环,绝缘环（TTW4500/PTW1500 plasma）,42.0100.1166,否,
钨针夹（TTW3000P）,钨针夹1.0 L=25 （TTW3000P ）,42.0001.3000,否,
钨针夹（TTW3000P）,钨针夹1.6 L=25  （TTW3000P ）,42.0001.2571,否,
钨针夹（TTW3000P）,钨针夹2.4 L=25  （TTW3000P ）,42.0001.2572,否,
钨针夹（TTW3000P）,钨针夹3.2 L=25 （TTW3000P ）,42.0001.2573,否,
钨针夹（TTW3000P）,钨针夹（大气筛）1.0  L=40 TTW3000P,42.0001.2826,否,
钨针夹（TTW3000P）,钨针夹（大气筛）1.6  L=40 TTW3000P,42.0001.3001,否,
钨针夹（TTW3000P）,钨针夹（大气筛）2.4  L=40 TTW3000P,42.0001.3008,否,
钨针夹（TTW3000P）,钨针夹（大气筛）3.2  L=40 TTW3000P,42.0001.3009,否,
钨针夹（TTW4000P）,钨针夹（TTW4000P）1.0/D6.35x50,42.0001.0284,否,
钨针夹（TTW4000P）,钨针夹（TTW4000P）1.6/D6.35x50,42.0001.0285,否,
钨针夹（TTW4000P）,钨针夹（TTW4000P）2.4/D6.35x50,42.0001.0286,否,
钨针夹（TTW4000P）,钨针夹（TTW4000P）3.2/D6.35x50,42.0001.0287,否,
钨针夹（TTW4000P）,钨针夹（TTW4000P）4.0/D6.35x50,42.0001.2577,否,
钨针夹(TTW3000A),钨针夹1.0 L=12.7 （TTW3000A ）,42.0001.1148,否,
钨针夹(TTW3000A),钨针夹1.6 L=12.7  （TTW3000A ）,42.0001.1149,否,
钨针夹(TTW3000A),钨针夹2.4 L=12.7  （TTW3000A ）,42.0001.1150,否,
钨针夹(TTW3000A),钨针夹3.2 L=12.7 （TTW3000A ）,42.0001.1151,否,
钨针夹(TTW4000A),钨针夹1.0 L=59 （TTW4000A ）,42.0001.0697,否,
钨针夹(TTW4000A),钨针夹1.6 L=59  （TTW4000A ）,42.0001.0698,否,
钨针夹(TTW4000A),钨针夹2.4 L=59  （TTW4000A ）,42.0001.0699,否,
钨针夹(TTW4000A),钨针夹3.2 L=59 （TTW4000A ）,42.0001.0700,否,
钨针夹(TTW4000A),钨针夹4.0 L=59 （TTW4000A ）,42.0001.0701,否,
钨针夹(TTW4500,钨针夹1.6 L=44 (TTW4500),42.0001.5794,否,
钨针夹(TTW4500,钨针夹2.4 L=44 (TTW4500),42.0001.5795,否,
钨针夹(TTW4500,钨针夹3.2 L=44 (TTW4500),42.0001.5796,否,
钨针夹(TTW4500,钨针夹4.0 L=44 (TTW4500),42.0001.5797,否,
钨针夹(TTW4500,钨针夹4.8L=44 (TTW4500),42.0001.5798,否,
钨针夹(PTW1500),钨针夹1.6 (PTW1500 plamsa),42.0001.5836,否,
钨针夹(PTW1500),钨针夹2.4 (PTW1500 plamsa),42.0001.5635,否,
钨针夹(PTW1500),钨针夹3.2 (PTW1500 plamsa),42.0001.5837,否,
钨针,铈钨针 WC20/D1.0x175 ,42.0411.4012,否,
钨针,铈钨针 WC20/D1.6x175 ,42.0411.4001,否,
钨针,铈钨针 WC20/D2.4x175 ,42.0411.4002,否,
钨针,铈钨针 WC20/D3.2x175 ,42.0411.4003,否,
钨针,铈钨针 WC20/D4.0x175 ,42.0411.4013,否,
钨针,铈钨针 WC20/D4.8x175 ,42.0411.4014,否,
钨针,铈钨针 WC20/D6.4x175 ,42.0411.4015,否,
钨针,纯钨针WP/D1.6x175 ,42.0411.4008,否,
钨针,纯钨针WP/D2.4x175 ,42.0411.4005,否,
钨针,纯钨针WP/D3.2x175 ,42.0411.4006,否,
钨针,纯钨针WP/D4.0x175 ,42.0411.4007,否,
钨针,纯钨针W/D4.8x175 ,42.0411.4009,否,
钨针,纯钨针WD6.4x175 ,42.0411.4021,否,
钨针,WL15镧钨针GP/D1.0x175 ,41.0010.0247,否,
钨针,WL15镧钨针GP/D1.6x175 ,41.0010.0246,否,
钨针,WL15镧钨针GP/D2.4x175 ,41.0010.0245,否,
钨针,WL15镧钨针GP/D3.2x175 ,41.0010.0244,否,
钨针,WL15镧钨针GP/D4.0x175 ,41.0010.0243,否,
钨针,WL15镧钨针GP/D4.8x175 ,41.0010.0242,否,
钨针夹套（TT3000P）,钨针夹套(TTW3000P) 1.0 L=20.6,42.0001.2827,否,
钨针夹套（TT3000P）,钨针夹套(TTW3000P) 1.6 L=20.6,42.0001.0260,否,
钨针夹套（TT3000P）,钨针夹套(TTW3000P) 2.4 L=20.6,42.0001.0261,否,
钨针夹套（TT3000P）,钨针夹套(TTW3000P) 3.2 L=20.6,42.0001.0262,否,
钨针夹套（TT4000P）,钨针夹套 1.0(TT4000P) L=47,42.0001.3032,否,
钨针夹套（TT4000P）,钨针夹套 1.6(TT4000P) L=47,42.0001.3033,否,
钨针夹套（TT4000P）,钨针夹套 2.4(TT4000P) L=47,42.0001.3034,否,
钨针夹套（TT4000P）,钨针夹套 3.2(TT4000P) L=47,42.0001.3035,否,
钨针夹套（TT4000P）,钨针夹套 4.0(TT4000P) L=47,42.0001.3036,否,
钨针夹套(TTW3000/4000A),钨针夹套1.0  L=10.3 TTW3000/4000A,42.0001.0692,否,
钨针夹套(TTW3000/4000A),钨针夹套1.6  L=10.3 TTW3000/4000A,42.0001.0693,否,
